fra	nnb
Te souviens-tu du jour où nous nous sommes rencontrés ?	Wanathasyaminya ekiro ekyotwasunganamomo ?
Tom n'a pas pu aller à l'école pendant trois semaines.	Tom mwathayire okokiyiro hamahwa mayenga asathu.
Ton pantalon est sale.	Embathi yawe yibubire.
J'aimerais savoir ce que tu cherches.	Nga sonderiminya ekio uka rondaya.
Veux-tu que je dise à Tom que nous ne le ferons pas ?	Wanzire nyibwire Tom ngoko sitwendisyakolakyo ?
Tom a pris une semaine de congé.	Tom mwimirye eyanga nguma eye nduhuke.
Nous étions assis sur un banc dans le parc.	Twabya twiker'oko  kithumbi kyomo luparake.
Elle est revenue ici.	Mwasiri syasuba hano.
Elle a abandonné ses fils.	Abyabirisigha abaghala buwe.
Tu jouais.	Ghulwe ukasatha.
Je m'imagine une maison dans laquelle je serais heureux.	Ngalengekanaya embimbano eyo nangaberemo nobutseme.
Je fais un petit somme presque tous les jours.	Ngayira mbaghara hakuhi obulhikiro.
Il n'habite pas dans mon quartier.	Syalhibuka omo kathathakaghe.
Vous devez vous arrêter de boire.	Ngamb'imwa lek'obwabu.
Ne nous mens pas.	Isiwa thu theba.
Je réponds de son honnêteté.	Ngasubiraya oko bughenge buwe.
C'est le village où il est né.	Ni mulhongo oyo avutawa.
Confirmez la commande.	Ngamb'iwa liha erisaba riaghu.
Je dois faire ça.	Ngandi kola kio.
Je pense que c'est la bonne manière de le faire.	Ngalengekanaya koninzira nguma eyowene eyerikolakyo.
Merci, j'ai tout compris.	Wasingya, nabiri owa ebyosi.
Je ne changerai pas d'idée, quoi qu'il se passe.	Siniendisya bindul'obulhengekania, mohangabiaki.
La société a été fondée en 1930.	Ekithongole kyatsukawa okomwaka 1930.
La télé ruine la vie de famille.	Ebisasamira bika tsandaya ekihanda.
Qui d'autre est venu à la fête ?	Noghundindi yulyasa oko kisendebele ?
C'était trop dur.	Kiabia kikalhire.
Je suis allé en Italie pour la seconde fois en 1980.	Monaya e Italie engendo ya kabiri riakabiri omo mwaka 1980.
Demandez au poste de police là-bas.	Bulaya ebisenge ebye polisi bieyo.
Quand ton anniversaire a-t-il lieu ?	Omwebukyo weributhwaryaghu abya mughulu wahi kwehi ?
Mes dents me font mal.	Amenowaye aka luma.
Elle a fermé la porte à clé.	Mwakahinda oluyi omo lukingulhi.
Miracle ! Le lien fonctionne !	Kiswekerwa ! obwamathani bwamakola !
Je me fais plus vieux et je ne veux plus travailler de nuit.	Ngayiyiram'omosyakulu nakandi sinyikyanzire eri tumik'omo kiro.
C'est une énorme responsabilité.	Ni muviri munzi kundu.
