fra	swc	swc_clean
Te souviens-tu du jour où nous nous sommes rencontrés ?	Je! Unakumbuka siku tuli kutananaka?	Je! Unakumbuka siku tuli kutananaka?
Tom n'a pas pu aller à l'école pendant trois semaines.	Tom hakuwai enda ku masomo kwa muda wa miezi tatu.	Tom hakuwai enda ku masomo kwa muda wa miezi tatu.
Ton pantalon est sale.	Pantalon yako inachafuka.	Pantalon yako inachafuka.
J'aimerais savoir ce que tu cherches.	Ningependa kujua chenye unatafuta.	Ningependa kujua chenye unatafuta.
Veux-tu que je dise à Tom que nous ne le ferons pas ?	Je! Unataka nimwambie Tom kama hatutaifanya?	Je! Unataka nimwambie Tom kama hatutaifanya?
Tom a pris une semaine de congé.	Tom alikamata mapumuziko (congé) ya juma moya.	Tom alikamata mapumuziko ya juma moya.
Nous étions assis sur un banc dans le parc.	Tulikuwa naikala ku kiti (banc) ndani ya bustani.	Tulikuwa naikala ku kiti ndani ya bustani.
Elle est revenue ici.	Alirudia hapa.	Alirudia hapa.
Elle a abandonné ses fils.	Aliacha natupa batoto yake.	Aliacha natupa batoto yake.
Tu jouais.	Ulikua nacheza.	Ulikua nacheza.
Je m'imagine une maison dans laquelle je serais heureux.	Minafikiria nyumba yenye nitaishi amo na furaha.	Minafikiria nyumba yenye nitaishi amo na furaha.
Je fais un petit somme presque tous les jours.	Nalalaka kidogo karibu kila siku.	Nalalaka kidogo karibu kila siku.
Il n'habite pas dans mon quartier.	Aishi mu mutaa (quartier) yangu.	Aishi mu mutaa yangu.
Vous devez vous arrêter de boire.	Unapashwa acha kunywa pombe.	Unapashwa acha kunywa pombe.
Ne nous mens pas.	Usitudanganye.	Usitudanganye.
Je réponds de son honnêteté.	Minajibu kwa uaminifu wake.	Minajibu kwa uaminifu wake.
C'est le village où il est né.	Hii njo kijiji yenye alizaliwa amo.	Hii njo kijiji yenye alizaliwa amo.
Confirmez la commande.	Zibitisha agizo (commande).	Zibitisha agizo.
Je dois faire ça.	Lazima nifanye ivyo.	Lazima nifanye ivyo.
Je pense que c'est la bonne manière de le faire.	Nazani hiyo ndiyo njia ya muzuri yakuifanya.	Nazani hiyo ndiyo njia ya muzuri yakuifanya.
Merci, j'ai tout compris.	Aksanti, nimeelewa kila kitu.	Aksanti, nimeelewa kila kitu.
Je ne changerai pas d'idée, quoi qu'il se passe.	Sitabadilisha mawazo yangu hata ikuwe aje.	Sitabadilisha mawazo yangu hata ikuwe aje.
