region,rank,language,iso_code,planning_basis,bitext_status,selection_status,next_action
North Kivu,1,Nande / Kinande,nnb,large regional language,14949_open_pairs,selected,retain complete CC BY 4.0 CLEAR Global track
North Kivu,2,Hunde / Kihunde,hke,large regional language,source_to_verify,candidate,identify permissioned or open parallel text
North Kivu,3,Nyanga / Kinyanga,nyj,regional language with Bible materials,3192_licence_conflict_pairs,licence_verification_required,confirm public-domain claim with maintainer or rightsholder
North Kivu,4,Tembo / Kitembo,tbt,regional Kivu language,7932_restricted_pairs,permission_required,request redistribution and research permission from rightsholder
North Kivu,5,Kinyarwanda,kin,large bilingual community,source_to_verify,candidate,restrict to DRC-provenanced data and verify variety
South Kivu,1,Mashi / Shi,shr,large regional language,1500_open_pairs,selected_eastern_top5,target reached; freeze after all-language curation
South Kivu,2,Havu / Kihavu,hav,large regional language,3224_open_pairs,later_kivu_expansion,retain complete CC BY-SA 4.0 aligned track for later Kivu phase
South Kivu,3,Bembe / Kibembe,,substantial regional community,source_to_verify,candidate,identify DRC-specific bitext and ISO code
South Kivu,4,Fuliiru / Kifuliiru,flr,regional language with dictionary and Bible materials,30546_restricted_pairs,permission_required,request redistribution and research permission from rightsholder
South Kivu,5,Lega / Kilega,leg;lea,large language continuum,source_to_verify,candidate,keep Mwenga and Shabunda varieties separate
Ituri,1,Alur / Dho-Alur,alz,large Ituri and cross-border community,7567_open_drc_labelled_pairs,selected,retain complete CC BY 4.0 MT560 track with mixed-source provenance
Ituri,2,Ngiti,niy,large Ituri language,7955_unique_restricted_pairs,selected_restricted,use locally for evaluation and preserve joint-country provenance
Ituri,3,Kakwa,keo,substantial northeastern DRC border language with usable source,7950_unique_restricted_pairs,selected_restricted,use locally for evaluation and preserve joint-country provenance
Ituri,4,Komo,kmw,DRC Ituri-Tshopo transition language with usable source,7938_unique_restricted_pairs,selected_restricted,use locally for evaluation with DRC-only provenance
Ituri,5,Amba,rwm,Ituri-Uganda border language with sufficient usable source,2074_unique_restricted_pairs,selected_restricted,use locally for evaluation and preserve joint-country provenance
Ituri,6,Lendu / Kilendu,led,major Ituri language,no_sentence_bitext_found,acquisition_backlog,seek open French or English humanitarian education dictionary and community text
Ituri,7,Hema,nix,major Ituri language,no_sentence_bitext_found,acquisition_backlog,seek authentic DRC-specific aligned text
Ituri,8,Bila,bip,forest-region language,no_sentence_bitext_found,acquisition_backlog,locate community publications dictionary examples or aligned source text
Maniema,1,Lega-Mwenga,lgm,large Maniema-South Kivu language variety,7943_unique_restricted_pairs,selected_restricted,use exact variety locally and do not merge with Lega-Shabunda
Maniema,2,Lega-Shabunda,lea,large DRC language of Pangi-Shabunda with a complete official edition,30703_unique_restricted_pairs,selected_restricted,use locally for evaluation and keep separate from Lega-Mwenga
Maniema,3,Zimba,zmb,DRC Maniema language with sufficient official portions,2434_unique_restricted_pairs,selected_restricted,use locally for evaluation; official copyrighted text remains Git-ignored
Maniema,4,Bembe / Kibembe,bmb,substantial DRC Maniema-South Kivu language with a matching official publication,2984_unique_restricted_pairs,selected_restricted,use locally for evaluation; shared document and paragraph IDs provide deterministic French alignment
Maniema,5,Holoholo,hoo,DRC-spoken Maniema-Tanganyika transition language with sufficient official portions,1531_unique_restricted_pairs,selected_restricted,use locally for evaluation; official edition does not label a narrower subvariety
Maniema,6,Kusu,ksv,large local language,no_sentence_bitext_found,acquisition_backlog,seek authentic written parallel text; currently identified resources are audio only
Maniema,7,Bangubangu,bnx,substantial regional community,official_portion_below_1500,acquisition_backlog,obtain more than the currently available limited official portion
Maniema,8,Songola / Songoora,sod,regional language,official_mark_only_below_1500,acquisition_backlog,obtain additional official books or non-scripture bitext
Maniema,9,Buyu,byi,DRC Maniema language with an official Luke edition,962_unique_restricted_pairs,acquisition_backlog,add at least 538 pairs from another authentic source
Tshopo,1,Komo / Kumu,kmw,large Tshopo transition language with an existing curated DRC track,7938_unique_restricted_pairs,selected_reuse_regional,reference the existing Ituri-transition track without duplicating text
Tshopo,2,Ngombe,ngc,substantial Tshopo community with an existing curated DRC track,12735_unique_open_pairs,selected_reuse_regional,reference the existing Congo Basin track and retain non-territorial source caveat
Tshopo,3,Kele / Lokele,khy,major Kisangani-area language with a complete official edition,7910_unique_restricted_pairs,selected_restricted,use locally for evaluation while keeping copyrighted text Git-ignored
Tshopo,4,Lengola,lej,regional language with a sufficiently large open collection,5774_unique_open_pairs,selected,retain the CC BY-SA 4.0 English track with attribution
Tshopo,5,Lombo / Turumbu,loo,Tshopo Isangi language with sufficient open portions,1812_unique_open_pairs,selected,retain the CC BY-SA 4.0 French track with attribution
Tshopo,6,Topoke / Poke,pof,major regional language,open_portions_below_1500,acquisition_backlog,locate additional authentic written material
Tshopo,7,Mbole,mdq,major regional language,no_sentence_bitext_found,acquisition_backlog,seek downloadable text beyond identified audio resources
Tshopo,8,Mituku,zmq,regional language,open_mark_below_1500,acquisition_backlog,locate additional authentic written material
Tshopo,9,Bali,bcp,regional language,official_portions_below_1500,acquisition_backlog,locate a complete authentic text edition
Tshopo,10,Enya-Kisangani,,regional language,no_sentence_bitext_found,acquisition_backlog,distinguish from Enya-Kindu and locate aligned text
Katanga,1,Luba-Katanga / Kiluba,lub,major regional language,197411_open_pairs,selected,retain complete MT560 track
Katanga,2,Tabwa / Kitabwa,tap,large regional community,5039_open_pairs,selected,retain complete CC BY-SA 4.0 French-Tabwa track
Katanga,3,Bemba,bem,major cross-border Katanga language,381259_open_cross_border_pairs,selected,retain complete MT560 track and seek DRC-specific comparison data
Katanga,4,Aushi,auh,substantial regional community,1900_open_cross_border_pairs,selected,retain complete open track and seek DRC variety confirmation
Katanga,5,Lunda,lun,cross-border regional language,134568_open_cross_border_pairs,selected,retain complete MT560 track and seek DRC-specific comparison data
Kasai,1,Tshiluba / Luba-Kasai,lua,major regional and national language,397971_open_pairs,selected_reuse_national,reference the completed national Ciluba track without duplicating it
Kasai,2,Tetela,tll,Sankuru and Kasai transition language,222212_open_pairs,selected,retain complete DRC-labelled MT560 track
Kasai,3,Songe / Kisonge,sop,major Kasai-Lomami transition language,51069_open_pairs,selected,retain complete DRC-labelled MT560 track
Kasai,4,Ruund / Uruund,rnd,DRC Kasai-Lualaba language,133626_open_pairs,selected,retain complete DRC-labelled MT560 track
Kasai,5,Kanyok / Kanyoka,kny,major DRC Kasai-Lomami language,complete_bible_catalogued_no_download,selected_acquisition,send prepared request for KNYFUL text and redistribution permission
Western DRC,1,Kituba / Kikongo ya Leta,ktu,national lingua franca,2469_open_pairs,selected_reuse_national,reference the completed national Kituba track without duplicating it
Western DRC,2,Yaka,yaf,large southwestern DRC and cross-border language,7104_open_drc_angola_pairs,selected,retain complete public-domain track with joint-country provenance
Western DRC,3,Kikongo / Koongo,kon,major Western DRC language distinct from Kituba,315959_unique_open_subset_pairs,selected,retain all unique rows while preserving unspecified source-variety metadata
Western DRC,4,Yansi / Yanzi,yns,regional Kwilu-Mai-Ndombe language,7951_open_drc_pairs,selected,retain complete public-domain French-Yansi track
Western DRC,5,Yombe / Kiyombe,yom,major DRC Kongo variety,10408_open_drc_pairs,selected,retain complete CC BY-SA 4.0 French-Yombe track
Western DRC,6,Pende / Phende,pem,large Kwango-Kwilu DRC language,no_open_sentence_bitext_found,acquisition_backlog,seek open non-religious French or English bitext; retain religious material only as a licensed fallback
Northwestern Congo Basin,1,Mongo / Lonkundo,lol,large DRC regional language,38815_unique_restricted_pairs,selected_restricted,use locally for evaluation; publish metadata and scripts pending redistribution permission
Northwestern Congo Basin,2,Ngombe,ngc,substantial regional DRC community,12735_unique_open_multiedition_pairs,selected,retain all pairs from three public-domain DRC-labelled editions with edition provenance
Northwestern Congo Basin,3,Northern Ngbandi,ngb,major Ubangi language used in northwestern DRC,7887_unique_restricted_pairs,selected_restricted,use locally for evaluation; do not reuse the national Lingala track
Northwestern Congo Basin,4,Ngbaka,nga,large DRC and cross-border community,29977_unique_restricted_pairs,selected_restricted,use locally for evaluation; publish metadata and scripts pending redistribution permission
Northwestern Congo Basin,5,Lobala,loq,Northwestern DRC Congo Basin language,7920_unique_restricted_pairs,selected_restricted,use locally for evaluation; publish metadata and scripts pending redistribution permission
Northwestern Congo Basin,6,Budza / Budja,bja,large DRC regional community,no_sentence_bitext_found,acquisition_backlog,seek open French or English humanitarian education dictionary and community text
Northwestern Congo Basin,7,Mbandja,zmz,substantial DRC regional community,no_sentence_bitext_found,acquisition_backlog,seek open French or English aligned text
Northern DRC,1,Zande / Pazande,zne,major Northern DRC and cross-border language,30865_unique_restricted_pairs,selected_restricted,use locally for evaluation and preserve joint-country provenance
Northern DRC,2,Logo / Logoti,log,substantial Uele language with DRC provenance,9649_unique_restricted_pairs,selected_restricted,use all unique local pairs for evaluation and preserve joint-country provenance
Northern DRC,3,Mayogo,mdm,DRC-specific Uele language with usable source,7911_unique_restricted_pairs,selected_restricted,use locally for evaluation while preserving DRC provenance
Northern DRC,4,Budu,buu,substantial DRC Uele-Mambasa language with usable source,17387_unique_restricted_pairs,selected_restricted,use all unique local pairs for evaluation with DRC-only provenance
Northern DRC,5,Ndo / Kebu,ndp,Northern DRC border language with usable source,7943_unique_restricted_pairs,selected_restricted,use locally for evaluation and preserve joint-country provenance
Northern DRC,6,Ngbaka Ma'bo,nbm,major Northern DRC language,no_sentence_bitext_found,acquisition_backlog,seek open French or English humanitarian education dictionary and community text
Northern DRC,7,Mangbetu,mdj,major northeastern DRC language,no_sentence_bitext_found,acquisition_backlog,seek a DRC-specific aligned corpus
Northern DRC,8,Northern Ngbandi,ngb,major Ubangi language,assigned_to_northwestern_track,regional_reuse_excluded,do not count the same curated language in two regional top-five selections
