verse_key,yns,fr
MAT.1.1,"Un'kaan a un'lwaaŋ a Yɛsu Klistɔ, itoo a David, itoo a Abàlam.","Généalogie de Jésus-Christ, fils de David, fils dAbraham."
MAT.1.2,"Abàlam kàbör Isak, Isak kàbör Yakɔb, Yakɔb kàbör Yudà anà atɔŋ ande.",Abraham engendra Isaac; Isaac engendra Jacob; Jacob engendra Juda et ses frères;.
MAT.1.3,"Yudà kàbör Falesi anà Zalà, ikɔb a ngwän aba Tamar, Falesi kàbör Isilɔn, Isilɔn kàbör Alam.",Juda engendra de Thamar Pharès et Zara; Pharès engendra Esrom; Esrom engendra Aram;.
MAT.1.4,"Alam kàbör Aminadab, Aminadab kàbör Naasɔn, Naasɔn kàbör Salmɔn.",Aram engendra Aminadab; Aminadab engendra Naasson; Naasson engendra Salmon;.
MAT.1.5,"Salmɔn kàbör Bɔɔzi, Rayab kàkäl ngwän ande, Bɔɔzi kàbör Yɔbɛd, Luti kàkäl ngwän ande, Yɔbɛd kàbör Yɛsɛ.",Salmon engendra Boaz de Rahab; Boaz engendra Obed de Ruth;.
MAT.1.6,"Yɛsɛ kàbör mfum David. David kàbör Salàmun, ngwän ande kàkäl un'kyay a Uli.",Obed engendra Isaï; Isaï engendra David. Le roi David engendra Salomon de la femme dUrie;.
MAT.1.7,"Salɔmun kàbör Rɔbɔwam, Rɔbɔwam kàbör Abya, Abya kàbör Asa.",Salomon engendra Roboam; Roboam engendra Abia; Abia engendra Asa;.
MAT.1.8,"Asa kàbör Yɔsafat, Yɔsafat kàbör Yɔlam, Yɔlam kàbör Ɔsya.",Asa engendra Josaphat; Josaphat engendra Joram; Joram engendra Ozias;.
MAT.1.9,"Ɔsya kàbör Yɔwatam, Yɔwatam kàbör Akazi, Akazi kàbör Isikyä.",Ozias engendra Joatham; Joatham engendra Achaz; Achaz engendra Ézéchias;.
MAT.1.10,"Isikyä kàbör Mànasi, Mànasi kàbör Amɔn, Amɔn kàbör Yɔsyä.",Ézéchias engendra Manassé; Manassé engendra Amon; Amon engendra Josias;.
