language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,2690cef148d9bc14,LUK.1.1,"Plusieurs ayant entrepris de composer un récit des événements qui se sont accomplis parmi nous,",Lombo,"Baito likam baosila okota oemalisa bombila loka lo mbeko yeke itomoaka loka liso,",verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,8eca8a66033f6b2f,LUK.1.10,"Toute la multitude du peuple était dehors en prière, à l’heure du parfum.",Lombo,Likama li baito limbaka lousa batosembola ta mbile oetumba bobele bo liesa.,verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,c414122100a53c6f,LUK.1.11,"Alors un ange du Seigneur apparut à Zacharie, et se tint debout à droite de l’autel des parfums.",Lombo,Bokitomo boya Ngene akaenamana linde ta etumbelo lo bobele ta boo bolome.,verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,82e9d6da41588352,LUK.1.12,"Zacharie fut troublé en le voyant, et la frayeur s’empara de lui.",Lombo,"Ekaenaka Yekalia ongoma, kabanga la bowa bokaotela ye.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,c46b4cf5242220ed,LUK.1.13,"Mais l’ange lui dit: Ne crains point, Zacharie; car ta prière a été exaucée. Ta femme Élisabeth t’enfantera un fils, et tu lui donneras le nom de Jean.",Lombo,"Ndjo Bokitomo akabeka linde mbo, oibangaka, Yekalia, loka mbo lisemboli liao lifokana, la boali ao Elisabeta atobotelo we wanabotolome, la otota ye la lina mbo Yoani.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,e878da2905301eb5,LUK.1.14,"Il sera pour toi un sujet de joie et d’allégresse, et plusieurs se réjouiront de sa naissance.",Lombo,"Liomali la limengo lifi litomba lao, la baito likama batooka limengo ta libotomu linde.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,c6bdf12c83acc148,LUK.1.15,"Car il sera grand devant le Seigneur. Il ne boira ni vin, ni liqueur enivrante, et il sera rempli de l’Esprit-Saint dès le sein de sa mère;",Lombo,"Loka mbo atomba butu bofi ta baiso baya Ngene, aitomwa baana, lamba leka lo lewisa; la atowala la Bolimo Botanu kota solo eya inango inde.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,abed3ac81fcfe7d8,LUK.1.16,"il ramènera plusieurs des fils d’Israël au Seigneur, leur Dieu;",Lombo,Atobinoisa baito ba Isalaele likama ambe Ngene Mungu ibo.,verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,b09ac8dffba2729f,LUK.1.17,"il marchera devant Dieu avec l’esprit et la puissance d’Élie, pour ramener les cœurs des pères vers les enfants, et les rebelles à la sagesse des justes, afin de préparer au Seigneur un peuple bien disposé.",Lombo,"Ye aleko atoka felo inde la bolimo la bofoka boya Eliya. Atobinoisa betema be ba ise ambe bana, la baito ba tale ta ndole e liengani, loka lokomanyela Ngene bofindi boengani.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
Lombo,loo,Lombo (DRC),Tshopo / Congo Basin transition,Bible in Every Language Lombo documents / French Louis Segond 1910,https://doc-files.bibleineverylanguage.org/loo-reg-luk_lbo_1c_c_chapter_clf.html,2026-08-25,fd8b5db31de3f8ac,LUK.1.18,"Zacharie dit à l’ange: A quoi reconnaîtrai-je cela? Car je suis vieux, et ma femme est avancée en âge.",Lombo,"Yekalioa akabeka la Bokitomo mbo, loto lembela yeke isani? loka mbo loomba botolo, la boali ange aleko amba inunu.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable,Authentic open text aligned to public-domain French by canonical verse identifier; attribution retained in metadata.
