language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,af0d45441504fe4b,smolsent:0,It allows me to work by following my vibes and molding my teaching style to the learning style of the audience.,Kikongo ya Leta,Yo ke pesaka mono nzila ya kusala na kulanda mawi mpi kuwakanisa mutindu na mono ya kulonga ti mutindu ya kulonguka ya bawi.,sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,415d74bd82ce71e2,smolsent:1,The unrelenting soul-force of those who would hold us accountable blows that all away.,Kikongo ya Leta,Ngolo ya mingi kibeni ya moyo ya bantu yina ta lomba beto bakonti ke katula yo yonso.,sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,0ee96563ce8fbdc4,smolsent:2,"When taken regularly in therapeutic doses, ginger root can effectively cure nausea;",Kikongo ya Leta,"Kana nge ke baka badose na yo mbala na mbala bonso nkisi, misisa ya tangawishi lenda belula mpenza nzala ya kuluka;",sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,d2a9c82b0d386307,smolsent:3,They accomplished their goals and created a legacy of self-determination to which others may aspire.,Kikongo ya Leta,Bo lungisaka balukanu na bo mpi bo salaka nsiku ya kudibakila balukanu yina bantu ya nkaka lenda sadila.,sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,ee908d84db43a12e,smolsent:4,But faster economic activity could also translate into some degree of inflation.,Kikongo ya Leta,Kansi bisalu ya ntinu ya ekonomi lenda kuma na kiteso mosi buna kumata ya ntalu ya bima.,sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,97578e0ea6b791ba,smolsent:5,"The main characteristics a stone should possess are uniform surface, grain, and density.",Kikongo ya Leta,"Kikalulu ya ntete-ntete yina ditadi fwete vanda ti yo kele nde yo fwete vanda kiteso mosi, bonso dimbuma mpi ngolo.",sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,a973c8a1841e5b22,smolsent:6,"Lettuce, no matter the variety, is considered a cool-weather crop.",Kikongo ya Leta,"Laittue, ata yawu ikele inki mutindu, bo ke monaka yo bonso kima ya ke menaka na kisika ya madidi.",sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,17d639975b20bf6f,smolsent:7,It was a trick to lure foolish humans to an ogre who would teach them a very valuable lesson.,Kikongo ya Leta,Yo vandaka mayele sambu na kubenda biyungu na engambe yina ta longa yandi dilongi ya mfunu mingi.,sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,43dccbe71f061fad,smolsent:8,"Just to clarify, though, assertive is not the same as aggressive or arrogant.",Kikongo ya Leta,"Kansi kaka sambu na kutendula, kundima kele ve mutindu mosi ti kunwanisa to kuvanda ti lulendo.",sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
Kikongo ya Leta,ktu,Kituba (DRC),Western DRC,Google SMOL SmolSent en_ktu,https://huggingface.co/datasets/google/smol,2026-08-21,b8b2e3b84c4cb4bf,smolsent:9,"The bus, normally crowded, was stunningly nearly empty at this hour.",Kikongo ya Leta,Bisi ke vandaka mbala mingi ya kufuluka kansi yo vandaka kuyituka sambu yo vandaka pembeni ya mpamba na ngunga yai.,sentence,general,CC BY 4.0,verified_source,smol_ktu_known_quality_warning,Authentic SMOL source accepted as supplied; retain known Kituba quality warning.
