language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,b361e27e6a93f07e,kit5k:2,Où ces photos ont-elles été prises ?,Lingala,Bakangaki bilili oyo wapi ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,783681411b4d5ce4,kit5k:3,"Prenez-en un quatre fois par jour, après les repas.",Lingala,"Kamataka yango moko mbala minei na mokolo, nsima ya koliya",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,8e547c72b93ac3cc,kit5k:4,J'ai besoin de quelqu'un avec qui parler.,Lingala,Nasengeli na moto moko nasolola naye.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,019543c9a902028e,kit5k:5,Il a violé la loi.,Lingala,Abuki mobeko.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,5c0ce96e5948da82,kit5k:6,Est-ce que la porte était fermée ?,Lingala,Ekuke ekangamaki ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,8725e38d9be09bcf,kit5k:7,J'apprécie les échecs.,Lingala,Nandimaka makweyi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,16bd5e9516aff999,kit5k:8,Je lui ai demandé son nom.,Lingala,Natunaki ye nkombo na ye.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,07e135b4d3848a64,kit5k:9,Donnez une chance à quelqu'un d'autre.,Lingala,Pesa libaku lilamu epai ya moto mususu.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,f868d8bdb8b2f869,kit5k:10,Le livre que j'ai acheté est sur la table.,Lingala,Buku nasombaki ezali likolo ya mesa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,b76437d4efc6437b,kit5k:11,Mon ordinateur a cessé de fonctionner il y a quelques jours.,Lingala,Ordinateur na ngai ezali kosala lisusu te eleki mwa mikolo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
