fra	lin
Où ces photos ont-elles été prises ?	Bakangaki bilili oyo wapi ?
Prenez-en un quatre fois par jour, après les repas.	Kamataka yango moko mbala minei na mokolo, nsima ya koliya
J'ai besoin de quelqu'un avec qui parler.	Nasengeli na moto moko nasolola naye.
Il a violé la loi.	Abuki mobeko.
Est-ce que la porte était fermée ?	Ekuke ekangamaki ?
J'apprécie les échecs.	Nandimaka makweyi.
Je lui ai demandé son nom.	Natunaki ye nkombo na ye.
Donnez une chance à quelqu'un d'autre.	Pesa libaku lilamu epai ya moto mususu.
Le livre que j'ai acheté est sur la table.	Buku nasombaki ezali likolo ya mesa.
Mon ordinateur a cessé de fonctionner il y a quelques jours.	Ordinateur na ngai ezali kosala lisusu te eleki mwa mikolo.
Tom ne sait pas où il est né.	Tom ayebi esika abotama te.
Il nous faut tous apprendre à faire face à cette situation.	Tosengeli biso banso koyekola kolonga likambo oyo.
Y a-t-il des plantes auxquelles vous soyez allergiques ?	Ezali na boko milona miboyaka nzoto na yo ?
Comment puis-je choisir un poisson frais?	Motindo kani nakoki kopona mbisi ya mai ?
Apporte-moi sa tête.	Memela ngai moto na ye.
Vous pouvez faire ce qui vous chante.	Bokoki kosala oyo nyonso bolingi.
Prends tes cachets !	Kamata bilembo na yo !
C'est un joueur de tennis.	Azali mobeti ya lisano ya tennis.
Son père travaille à la banque.	Tata na ye asalaka na banke.
Il est vraiment sans cœur.	Ye mpenza azanga mawa.
Je n'ai pas de plaintes.	Nazali na mitungisi te.
Je dois m'excuser auprès de Tom.	Nasengeli kosenga Tom bolimbisi.
Je pense sérieusement à déménager à Boston.	Nazali kobanza ete nalongwa na Boston.
Ton amitié importe.	Boninga na yo ezali ya motuya.
Je pense toujours que nous aurions dû inviter Tom à venir avec nous.	Nabanzi ete esengelaki tobengisa Tom  aya elongo na biso.
Il n'est pas digne de toi.	Elongobani na yo te.
Je rêvais de devenir mannequin.	Mposa na ngai ezalaka ete nakoma maneke (momekiseli ya bilamba).
Elle n'a que quelques années de plus que moi.	Aleki ngai bobele na ndambo ya mibu.
Une compréhension des gens est l'arme la plus puissante que vous puissiez détenir.	Boyokani ya bato yango nde mondoki ya makasi oyo bokoki kosimba.
Je n'ai rien de mieux à faire.	Nazali na eloko mosusu ya malamu koleka te mpo nakosala.
Ne crie pas, ou tu es mort.	Koganga te, soki te okokufa.
Tom ne l'a fait qu'une fois.	Tom asalaki yango kaka mbala moko.
Nous nous connaissons depuis longtemps.	Toyebanaki uta kala.
Dans ma famille, personne n'est capable de le faire.	Na libota lya gai, moto moko te akoki kosala yango.
Nous avons voyagé à travers tout le pays.	Tosalaki mobembo na mboka mobimba.
On m'a proposé le choix entre un thé et un café.	Batunaki ngai namela tii to kafe.
Thomas a une photo de sa famille sur son bureau.	Thomas azali na elili ya libota na ye na bilo na ye.
On se fait à tout.	Tomisalisaka na nyonso.
Je ne pense pas que quiconque me comprenne réellement.	Nabanzi ete moto moko te asosoli ngai malamu mpenza.
Je commence à comprendre.	Nabandi kososola.
