language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,d9c0dcd6c897d257,1CO.1.10,"Now I urge you , brothers , through the name of our Lord Jesus Christ , that you all speak the same thing and that there might not be divisions among you , but that you might be joined together in the same mind and in the same purpose .",Lengola,"Yane komula nuwe, bhamonima, na linya la Bhwáná wasu Yesu Kilisito, nugwali bhatopa na livfia talimoi, ka mbese nuwe igwala bhavfakanake, nge igwala bha dungiane na mpumatima tomoi ka na kulu temoi;",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,80a654560e044bd7,1CO.1.11,"For it was made clear to me concerning you , my brothers , by those of Chloe , that there are factions among you . \*",Lengola,"Ngo, bhamonima, yaoka na isowa lanu, na bhushe bha Kolowe, ibhia na djobhiko á katikati ya anu.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,1e916f5376847080,1CO.1.12,"Now I say this , that each of you says , “ I am of Paul ,” or “ I am of Apollos ,” or “ I am of Cephas ,” or “ I am of Christ .”",Lengola,"Iyonduwe evfi taa kila mushe wanu avfi taa: emi, e Paulo ka emi wa Apolosa! ka emi, wa Kefa! ka emi wa kilisito!",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,b92f161ab8420b59,1CO.1.13,"Has Christ been divided ? Paul was not crucified for you , was he ? Or were you baptized in the name of Paul ? \*",Lengola,"Kilisito ú muvfakane? Paulo ú gogilana dyulu lnu, ao é á linya la Paulo nubhia bhadjinisiane?",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,e275f920e432437e,1CO.1.14,"I thank { God } that I baptized none of you except Crispus and Gaius ,",Lengola,"Ya kpudhusia lokowa anga Mbali, na iyo si djinisiami ta omoi wanu, sakakului ku Kilisipo ka Gayo,",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,cda654bf27e9415a,1CO.1.15,so that no one might say that you were baptized into my name .,Lengola,Ambusa na ta mushe ta omoi sa vfiese taa nubha bha djinisiane na lina lami.,verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,ce6d4eb8554fc42e,1CO.1.16,"( Now I also baptized the household of Stephanas . Beyond that , I do not know if I baptized any others .) \*",Lengola,"Idjinisia kaamo libhoti la Setefano; ambusa na dyaa, indje djibhiami taa idjinisia bhamo bhushe.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,76baa501f5275bca,1CO.1.17,"For Christ did not send me to baptize , but to proclaim the gospel — not with wise speech so that the cross of Christ would not be emptied . \*",Lengola,"Kilisito situmese mungusa wa idjinisia, i dyulu la ikokolia livfia la Mbali, ka na eyo mbese bhutumba bha ivfia, ambusa taa musalabha wa Kilisito énégwali mbese énu.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,b9678dd799dad32f,1CO.1.18,"For the word of the cross is foolishness to the ones perishing , but to us , the ones being saved , it is the power of God .",Lengola,"Ngo ikokolia la musalabha itoku tombe anga bhaa bhaoguwa; nge angasu bhaa tubha bhike, ilokulu la Mbali.",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
Lengola,lej,Lengola (DRC),Tshopo / Ubundu,Bible in Every Language Lengola collection / unfoldingWord Literal Text,https://doc-files.bibleineverylanguage.org/1735919439_1230981.pdf,2026-08-25,376c16a51a2a1406,1CO.1.19,"For it is written , “ I will destroy the wisdom of the wise , and I will frustrate the understanding of the intelligent .” \*",Lengola,"Ekpaluana kaamo: etukuwe bhutumba bha bhatumba, ka emalie olinga la bhaa",verse,religious,CC BY-SA 4.0,verified_source,open_publishable_pdf_layout_extraction,Authentic open text aligned by canonical verse identifier; PDF layout extraction is deterministic and conflict-marked rows are excluded.
